num;question;a;b;c;d;solution;area_code;area;theme;image;Tags
1;In Deutschland d\xfcrfen Menschen offen etwas gegen die Regierung sagen, weil ...;hier Religionsfreiheit gilt.;die Menschen Steuern zahlen.;die Menschen das Wahlrecht haben.;hier Meinungsfreiheit gilt.;d;politik;Politik in der Demokratie;Grundrechte;-;
2;In Deutschland k\xf6nnen Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am ...;Geschichtsunterricht teilnimmt.;Religionsunterricht teilnimmt.;Politikunterricht teilnimmt.;Sprachunterricht teilnimmt.;b;politik;Politik in der Demokratie;Grundrechte;-;
3;Deutschland ist ein Rechtsstaat. Was ist damit gemeint?;Alle Einwohner / Einwohnerinnen und der Staat m\xfcssen sich an die Gesetze halten.;Der Staat muss sich nicht an die Gesetze halten.;Nur Deutsche m\xfcssen die Gesetze befolgen.;Die Gerichte machen die Gesetze.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
4;Welches Recht geh\xf6rt zu den Grundrechten in Deutschland?;Waffenbesitz;Faustrecht;Meinungsfreiheit;Selbstjustiz;c;politik;Politik in der Demokratie;Grundrechte;-;
5;Wahlen in Deutschland sind frei. Was bedeutet das?;Man darf Geld annehmen, wenn man daf\xfcr einen bestimmten Kandidaten / eine bestimmte Kandidatin w\xe4hlt.;Der W\xe4hler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.;Nur Personen, die noch nie im Gef\xe4ngnis waren, d\xfcrfen w\xe4hlen.;Alle wahlberechtigten Personen m\xfcssen w\xe4hlen.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
6;Wie hei\xdft die deutsche Verfassung?;Volksgesetz;Bundesgesetz;Deutsches Gesetz;Grundgesetz;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
7;Welches Recht geh\xf6rt zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf ...;Glaubens- und Gewissensfreiheit.;Unterhaltung.;Arbeit.;Wohnung.;a;politik;Politik in der Demokratie;Grundrechte;-;
8;Was steht nicht im Grundgesetz von Deutschland?;Die W\xfcrde des Menschen ist unantastbar.;Alle sollen gleich viel Geld haben.;Jeder Mensch darf seine Meinung sagen.;Alle sind vor dem Gesetz gleich.;b;politik;Politik in der Demokratie;Grundrechte;-;
9;Welches Grundrecht gilt in Deutschland nur f\xfcr Ausl\xe4nder / Ausl\xe4nderinnen? Das Grundrecht auf ...;Schutz der Familie;Menschenw\xfcrde;Asyl;Meinungsfreiheit;c;politik;Politik in der Demokratie;Grundrechte;-;
10;Was ist mit dem deutschen Grundgesetz vereinbar?;die Pr\xfcgelstrafe;die Folter;die Todesstrafe;die Geldstrafe;d;politik;Politik in der Demokratie;Grundrechte;-;
11;Wie wird die Verfassung der Bundesrepublik Deutschland genannt?;Grundgesetz;Bundesverfassung;Gesetzbuch;Verfassungsvertrag;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
12;Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das m\xf6glich?;Ja, wenn mehr als die H\xe4lfte der Abgeordneten im Bundestag daf\xfcr sind.;Ja, aber dazu m\xfcssen zwei Drittel der Abgeordneten im Bundestag daf\xfcr sein.;Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden.;Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.;c;politik;Politik in der Demokratie;Grundrechte;-;
